URL,Name,Quality,channel_id
https://www.youtube.com/channel/UC-xMMM4t_lRdczClvDQRLTA/videos,From real life,9,UC-xMMM4t_lRdczClvDQRLTA
https://www.youtube.com/c/alaa1012/videos, alaa eldin ,8,UC-ZTjzgyZmIRoQlUfgYraMw
https://www.youtube.com/c/who/videos,World Health Organization (WHO),10,UC07-dOwgza1IguKA86jqxNA
https://www.youtube.com/c/JouryKids/videos,Joury Kids,10,UC0A_MWH4PlDRn2-epb00-sA
https://www.youtube.com/c/MahmoudShaheenElordy/videos,محمود العُرْضِي - Mahmoud Elordy,10,UC0i-j_h-fVZZuOLcj6ah5gQ
https://www.youtube.com/c/%D9%85%D8%B9%D9%84%D9%88%D9%85%D8%A9%D8%B3%D8%B1%D9%8A%D8%B9%D8%A91/videos,Quick info,2,UC0I62vjaKBvMoMaaDE4erzA
https://www.youtube.com/channel/UC0nxReQw6W-zCBo3owU_coA/videos,Disco Misr,10,UC0nxReQw6W-zCBo3owU_coA
https://www.youtube.com/c/POPMAGStudios/videos,POPMAG Studios,10,UC0paVC1GTzkHrMWBcGtf85g
https://www.youtube.com/c/KKarim/videos,KKarim,4,UC0PIlX7yG9KM2C5FrhC-rIQ
https://www.youtube.com/channel/UC0PviyAwRDMF-gV6VT1ozTw/videos,Lycée Habib Thameur Sfax,10,UC0PviyAwRDMF-gV6VT1ozTw
https://www.youtube.com/c/MuhammadEid/videos,Muhammad Eid,10,UC0tu5mHyNZDFTAk1hr1GBoQ
https://www.youtube.com/channel/UC0zTHPVdxA5GpyKR7FbWkkw,بودكاست ون مان شو,8,UC0zTHPVdxA5GpyKR7FbWkkw
https://www.youtube.com/c/HGuitaraStudio/videos,HGuitaraStudio - حيدر كيتارا,10,UC1-bKvhQgX--rkL7NaUxErw
https://www.youtube.com/user/zoominara/videos,Zoomin.TV,5,UC16RqtcbXZUE0mMoBZzgJ9g
https://www.youtube.com/channel/UC1dA7ggm2x-4_IGOukkaEyQ/videos,white akram - وايت اكرم,10,UC1dA7ggm2x-4_IGOukkaEyQ
https://www.youtube.com/c/orassattar/videos,أوراس ستار,10,UC1FGmioe0wx4aBYEa-RqfQg
https://www.youtube.com/c/WonderStorm/videos,Q H,10,UC1HS7IDteKQjJkpmFfFwm-Q
https://www.youtube.com/c/%D9%85%D8%AD%D8%AA%D8%B1%D9%81%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A%D9%84%D9%84%D9%85%D8%B9%D9%84%D9%88%D9%85%D9%8A%D8%A7%D8%AA/videos,عماد للمعلوميات -imadTech7,10,UC1jmft-l-jjwJR3MBvwqjxQ
https://www.youtube.com/c/yassermakkah/videos,yasser makkah,10,UC1JTz3EwYmt-zFfzl2wtnDg
https://www.youtube.com/c/AuthmanSyrian/videos,Authman Syrian,10,UC1Kgn5BxD1fYxY1Ii9HtiJA
https://www.youtube.com/c/%D9%82%D8%B7%D9%88%D9%81%D8%A7%D9%84%D8%B9%D8%B5%D9%8A%D9%85%D9%8A%D8%AA%D9%85%D9%83%D9%8A%D9%86%D9%85%D9%87%D9%85%D8%A7%D8%AA%D8%A7%D9%84%D8%B9%D9%84%D9%85/videos,قطوف العصيمي,10,UC1M2LA5PSBQPg11C2fVKtOA
https://www.youtube.com/c/TinaAwwad/videos,Dr. Tina Awwad,7,UC1mYvNq891l1cgk2JmJgsSw
